id,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
268,Dell,Inspiron 5567,Notebook,15.6,1366x768,2.7,8,1TB HDD,AMD,Windows 10,2.36,749.0
347,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,1366x768,1.1,4,1TB HDD,Intel,Windows 10,2.0,449.0
353,Toshiba,Portege Z30-C-1CW,Notebook,13.3,1920x1080,2.3,8,256GB SSD,Intel,Windows 7,1.2,1460.0
578,Dell,Alienware 17,Gaming,15.6,3840x2160,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,4.42,2868.99
42,Dell,Latitude E7270,Ultrabook,12.5,1920x1080,2.4,8,256GB SSD,Intel,Windows 7,1.26,1713.37
867,Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,2.7,12,512GB SSD +  2TB HDD,Nvidia,Windows 10,2.26,1099.0
1136,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,2.0,4,256GB SSD,Intel,Linux,2.0,415.0
609,MSI,GP62M 7RDX,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.4,1142.8
474,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,2.7,8,256GB SSD,Nvidia,Windows 10,1.3,1193.0
838,Asus,Rog GL553VE-FY052T,Gaming,15.6,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.5,1600.0
851,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,1366x768,1.6,4,1TB HDD,Intel,Windows 10,2.65,309.0
904,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1.8,8,128GB SSD +  1TB HDD,Intel,Windows 10,2.02,855.0
355,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,1366x768,2.3,8,256GB SSD,Intel,Windows 10,2.2,1119.0
44,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,1920x1080,3.0,6,256GB SSD,AMD,Windows 10,1.95,649.0
36,Toshiba,Satellite Pro,Notebook,14.0,1366x768,2.1,4,128GB SSD,Intel,Windows 10,1.75,499.0
971,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1.6,8,256GB SSD,Intel,Windows 10,1.88,1096.16
938,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,2.4,4,256GB SSD,Intel,Windows 10,1.74,629.0
718,Acer,Aspire E5-575,Notebook,15.6,1366x768,2.5,6,1TB HDD,Intel,Windows 10,2.23,549.0
518,Lenovo,Thinkpad P51,Notebook,15.6,3840x2160,3.1,32,1TB SSD,Nvidia,Windows 10,2.5,4899.0
1126,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,1.6,8,256GB SSD,Nvidia,Windows 10,3.0,854.0
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,1.44,4,64GB Flash Storage,Intel,Windows 10,0.69,646.27
772,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,1920x1080,2.5,6,2TB HDD,AMD,Windows 10,2.71,655.01
1001,HP,EliteBook 820,Netbook,12.5,1366x768,2.6,8,256GB SSD,Intel,Windows 10,1.26,1389.0
330,HP,Omen 17-W295,Gaming,17.3,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,3.35,1379.0
66,Dell,Precision M5520,Workstation,15.6,3840x2160,2.8,8,256GB SSD,Nvidia,Windows 10,1.78,2712.0
829,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,2.0,4,1TB HDD,Intel,Linux,2.0,389.0
1129,Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,2.5,4,500GB HDD,Intel,Windows 10,2.4,559.0
1197,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,1920x1080,2.5,6,256GB SSD,Nvidia,Windows 10,2.4,695.0
171,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1.1,4,1TB HDD,Intel,Windows 10,2.2,306.0
233,HP,ProBook 640,Notebook,14.0,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,1.95,980.0
205,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1.6,8,256GB SSD,AMD,Windows 10,2.13,728.0
361,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.5,1265.0
1250,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,1920x1080,2.5,8,1.0TB Hybrid,AMD,Windows 7,2.32,895.0
707,Dell,Vostro 3568,Notebook,15.6,1366x768,2.0,4,1TB HDD,AMD,Windows 10,2.18,614.0
884,Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,1920x1080,1.5,4,16GB Flash Storage,Intel,Chrome OS,2.2,359.0
1071,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,3.6,6,256GB SSD,AMD,Windows 10,2.2,597.57
95,Dell,Inspiron 3552,Notebook,15.6,1366x768,1.6,4,500GB HDD,Intel,Windows 10,2.2,369.0
745,Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,15.6,1366x768,1.6,4,500GB HDD,Intel,Windows 10,2.2,369.0
899,Acer,Aspire 3,Notebook,15.6,1366x768,2.7,4,1TB HDD,Intel,Linux,2.1,367.0
313,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,2.7,8,256GB SSD,Nvidia,Windows 10,1.7,1049.9
1063,MSI,GL62M 7RD,Gaming,15.6,1920x1080,2.5,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1119.91
193,Dell,Inspiron 5578,2 in 1 Convertible,15.6,1920x1080,2.7,8,256GB SSD,Intel,Windows 10,2.3,1094.0
625,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,1.8,8,256GB SSD,Intel,Windows 10,1.91,659.0
142,HP,ProBook 650,Notebook,15.6,1920x1080,2.9,8,256GB SSD,Intel,Windows 10,2.31,1427.0
243,HP,Chromebook X360,2 in 1 Convertible,11.6,1366x768,1.1,8,64GB Flash Storage,Intel,Chrome OS,1.4,495.0
1214,HP,EliteBook 840,Notebook,14.0,1920x1080,2.6,8,256GB SSD,Intel,Windows 10,1.48,1268.0
1047,Dell,Inspiron 3567,Notebook,15.6,1366x768,2.0,4,1TB HDD,Intel,Windows 10,2.3,418.64
648,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,1920x1080,2.0,4,1TB HDD,AMD,No OS,2.2,479.0
34,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2.2,16,256GB Flash Storage,Intel,Mac OS X,2.04,2139.97
804,HP,EliteBook 840,Notebook,14.0,1920x1080,2.3,4,500GB HDD,Intel,Windows 7,1.54,1030.99
872,HP,250 G6,Notebook,15.6,1920x1080,2.0,4,500GB HDD,Intel,Windows 10,1.86,397.0
1297,HP,EliteBook 850,Notebook,15.6,1920x1080,2.3,8,256GB SSD,Intel,Windows 7,1.88,1579.0
192,Dell,Vostro 5568,Notebook,15.6,1920x1080,2.5,8,1TB HDD,Intel,Linux,1.98,726.0
451,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,1.6,4,500GB HDD,Intel,Windows 10,2.1,347.0
894,Fujitsu,LifeBook A556,Notebook,15.6,1366x768,2.3,4,256GB SSD,Intel,Windows 10,2.3,649.0
961,Toshiba,Tecra Z40-C-136,Ultrabook,14.0,1920x1080,2.6,8,256GB SSD,Intel,Windows 10,1.47,1725.0
1168,Lenovo,Thinkpad T460,Ultrabook,14.0,1920x1080,2.3,4,180GB SSD,Intel,Windows 10,1.7,1096.0
966,Lenovo,Thinkpad T560,Notebook,15.6,1920x1080,2.6,8,256GB SSD,Intel,Windows 10,2.3,1529.0
794,Mediacom,SmartBook 140,Notebook,14.0,1920x1080,1.44,2,32GB Flash Storage,Intel,Windows 10,1.4,239.0
763,Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,2.8,8,512GB SSD,Nvidia,Windows 10,2.67,1925.0
946,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,2.0,4,1TB HDD,Intel,Windows 10,1.85,414.9
1298,Acer,Aspire 5,Notebook,15.6,1366x768,2.0,4,500GB HDD,Nvidia,Windows 10,2.2,469.0
715,Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,14.0,1366x768,1.1,4,32GB Flash Storage,Intel,Windows 10,1.5,278.0
762,Dell,XPS 13,Ultrabook,13.3,1920x1080,1.8,8,256GB SSD,Intel,Windows 10,1.2,1449.0
1101,MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,1920x1080,2.5,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1089.0
994,HP,EliteBook Folio,Netbook,12.5,1920x1080,1.2,8,512GB SSD,Intel,Windows 10,0.97,1908.0
528,Dell,Latitude 5480,Ultrabook,14.0,1920x1080,2.8,8,256GB SSD,Intel,Linux,1.6,1099.0
926,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,1366x768,2.5,8,500GB HDD,Nvidia,No OS,2.2,629.0
791,HP,250 G6,Notebook,15.6,1366x768,2.0,4,1TB HDD,Intel,No OS,1.86,345.99
351,Acer,Chromebook 14,Notebook,14.0,1366x768,1.6,4,32GB Flash Storage,Intel,Chrome OS,1.68,349.0
166,Dell,Latitude E5570,Notebook,15.6,1920x1080,2.4,8,256GB SSD,Intel,Windows 7,2.09,1062.95
1196,Acer,Aspire A315-31,Notebook,15.6,1366x768,1.1,4,1TB HDD,Intel,Windows 10,2.1,348.0
1056,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1.6,8,128GB SSD +  1TB HDD,AMD,Windows 10,2.33,844.0
909,Razer,Blade Pro,Gaming,17.3,3840x2160,2.9,32,1TB SSD,Nvidia,Windows 10,3.49,6099.0
1189,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,2.2,4,128GB SSD,AMD,Windows 10,2.2,349.0
654,MSI,GT72VR Dominator,Gaming,17.3,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,3.78,2499.0
968,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,2.3,4,500GB HDD,Intel,Windows 10,2.2,535.0
1027,HP,EliteBook 820,Ultrabook,12.5,1920x1080,2.5,8,256GB SSD,Intel,Windows 7,1.26,2296.95
217,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,1366x768,1.6,4,128GB SSD,Intel,Windows 10,1.4,475.0
1224,Lenovo,Thinkpad X270,Ultrabook,12.5,1920x1080,2.7,8,256GB SSD,Intel,Windows 10,1.36,1584.0
559,Dell,Inspiron 7773,Notebook,17.3,1920x1080,1.8,16,512GB SSD,Nvidia,Windows 10,2.77,1549.0
136,Dell,XPS 13,Ultrabook,13.3,1920x1080,2.5,8,128GB SSD,Intel,Windows 10,1.29,899.0
420,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,1.8,8,1TB HDD,Intel,Windows 10,1.62,839.0
54,Toshiba,Portege X30-D-10L,Ultrabook,13.3,1920x1080,2.7,32,512GB SSD,Intel,Windows 10,1.05,2799.0
788,Acer,Aspire 3,Notebook,15.6,1366x768,3.0,4,256GB SSD,AMD,Windows 10,2.1,451.0
628,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,1920x1080,2.5,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1099.0
1215,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,1920x1080,1.8,8,256GB SSD,Intel,Windows 10,2.05,880.0
396,Lenovo,V110-15ISK (i3-6006U/4GB/1TB/No,Notebook,15.6,1366x768,2.0,4,1TB HDD,Intel,No OS,1.9,339.0
1083,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,15.6,1366x768,1.6,4,500GB HDD,Intel,Windows 10,2.2,369.0
20,HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,1.28,2277.0
1263,HP,Probook 430,Notebook,13.3,1920x1080,1.8,16,512GB SSD,Intel,Windows 10,1.49,1197.0
258,Dell,Inspiron 7567,Gaming,15.6,1920x1080,2.8,8,1TB HDD,Nvidia,Linux,2.62,929.0
159,Dell,Vostro 3568,Notebook,15.6,1366x768,2.0,4,1TB HDD,Intel,Windows 10,2.18,558.6
572,Lenovo,IdeaPad Y700-15ACZ,Gaming,15.6,1920x1080,2.1,16,512GB SSD +  1TB HDD,AMD,Windows 10,2.5,999.0
374,Toshiba,Satellite Pro,Notebook,15.6,1920x1080,2.5,8,500GB HDD,Intel,Windows 10,2.0,860.0
25,HP,EliteBook 820,Ultrabook,12.5,1366x768,2.4,8,256GB SSD,Intel,Windows 7,1.26,1895.0
345,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,2.8,4,1TB HDD,Nvidia,Windows 10,2.4,999.0
827,Dell,Latitude 3180,Netbook,11.6,1366x768,1.1,4,128GB SSD,Intel,Windows 10,1.63,744.0
661,HP,Probook 450,Notebook,15.6,1920x1080,2.5,8,256GB SSD,Nvidia,Windows 10,2.04,889.0
102,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,2.7,8,512GB SSD,Intel,Windows 10,1.37,2025.0
185,Asus,ROG Strix,Gaming,17.3,1920x1080,2.5,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.73,1770.0
69,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,1920x1080,2.5,8,256GB SSD +  500GB HDD,Nvidia,Windows 10,2.69,891.0
327,MSI,GE63VR 7RE,Gaming,15.6,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.4,1799.0
439,Acer,Chromebook C731-C78G,Netbook,11.6,1366x768,1.6,4,32GB Flash Storage,Intel,Chrome OS,1.25,297.0
662,MSI,GT73EVR 7RE,Gaming,17.3,1920x1080,2.8,16,512GB SSD +  1TB HDD,Nvidia,Windows 10,4.14,2499.0
799,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,1920x1080,2.5,4,128GB SSD +  1TB HDD,AMD,Windows 10,2.2,575.0
555,HP,ProBook 450,Notebook,15.6,1920x1080,1.6,4,500GB HDD,Intel,Windows 10,2.1,722.0
40,Toshiba,Tecra A40-C-1E5,Notebook,14.0,1366x768,2.3,4,128GB SSD,Intel,Windows 10,1.75,1020.0
1110,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,3200x1800,2.5,16,512GB SSD,Intel,Windows 10,1.3,1499.0
998,HP,Elitebook 1040,Ultrabook,14.0,1920x1080,2.7,8,256GB SSD,Intel,Windows 10,1.36,1750.0
500,MSI,GE72 Apache,Gaming,17.3,1920x1080,2.6,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.9,1511.19
734,Dell,XPS 13,Ultrabook,13.3,3200x1800,1.6,8,256GB SSD,Intel,Windows 10,1.23,1869.0
974,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,2.5,8,180GB SSD,Intel,Windows 10,1.7,1364.0
117,HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,2.5,4,256GB SSD,Intel,Windows 10,1.28,1799.0
392,HP,ProBook 450,Notebook,15.6,1366x768,2.4,4,256GB SSD,Intel,Windows 10,2.04,769.99
1060,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1.8,16,256GB SSD +  2TB HDD,AMD,Windows 10,2.2,1219.24
613,Asus,Pro P2540UA-XS51,Notebook,15.6,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,2.37,1099.0
711,HP,Probook 440,Notebook,14.0,1920x1080,1.8,8,512GB SSD,Intel,Windows 10,1.63,1084.0
1245,Dell,Vostro 3568,Notebook,15.6,1366x768,2.4,4,128GB SSD,Intel,Windows 10,2.18,547.0
639,Asus,Zenbook 3,Ultrabook,14.0,1920x1080,2.7,8,512GB SSD,Intel,Windows 10,1.1,1873.0
9,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,1.6,4,256GB SSD,Nvidia,Windows 10,3.0,805.0
1213,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,2.0,4,500GB HDD,Intel,No OS,1.9,450.0
535,Dell,Inspiron 7577,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.62,1159.0
155,Dell,XPS 13,Ultrabook,13.3,3200x1800,2.4,8,256GB SSD,Intel,Linux,1.23,1099.0
1074,HP,ProBook 470,Notebook,17.3,1920x1080,2.7,8,1TB HDD,Nvidia,Windows 10,2.63,1280.0
472,Dell,Inspiron 3179,2 in 1 Convertible,11.6,1366x768,1.0,4,128GB SSD,Intel,Windows 10,1.39,603.0
47,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,1920x1080,2.0,4,500GB HDD,Intel,No OS,2.8,529.0
5,HP,ProBook 470,Notebook,17.3,1920x1080,1.6,8,256GB SSD,Intel,Windows 10,2.5,928.0
466,Asus,VivoBook Max,Notebook,15.6,1366x768,2.4,4,1TB HDD,Intel,Windows 10,2.0,435.0
712,HP,Probook 440,Notebook,14.0,1920x1080,1.6,8,1TB HDD,Intel,Windows 10,1.63,812.0
212,Acer,Swift 3,Notebook,14.0,1920x1080,2.4,8,128GB SSD,Intel,Windows 10,1.5,619.0
1067,HP,250 G6,Notebook,15.6,1920x1080,2.5,8,256GB SSD,Intel,No OS,1.86,575.0
785,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,1.6,8,2TB HDD,Intel,Windows 10,2.04,389.0
332,Dell,Latitude 3580,Notebook,15.6,1366x768,2.5,8,128GB SSD,Intel,Windows 10,1.95,810.0
1199,MSI,GT62VR 7RE,Gaming,15.6,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.94,2267.86
412,Dell,XPS 15,Notebook,15.6,1920x1080,2.8,8,256GB SSD,Nvidia,Windows 10,2.0,1829.0
200,HP,EliteBook 1040,Ultrabook,14.0,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,1.43,1500.0
509,Toshiba,Satellite Pro,Notebook,15.6,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,2.0,943.0
411,MSI,GL62M 7RDX,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.2,1149.0
627,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,2.7,8,256GB SSD,Intel,Windows 10,1.37,1950.0
1088,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,3.6,12,2TB HDD,AMD,Windows 10,2.2,899.0
881,Dell,Latitude 3580,Notebook,15.6,1366x768,2.3,4,500GB HDD,Intel,Windows 10,1.95,729.9
914,Dell,XPS 13,2 in 1 Convertible,13.3,3200x1800,1.3,16,512GB SSD,Intel,Windows 10,1.22,1899.0
690,Toshiba,Satellite Pro,Notebook,15.6,1366x768,2.5,8,128GB SSD,Intel,Windows 10,2.0,793.0
111,HP,ZBook 15u,Notebook,15.6,1920x1080,2.5,8,500GB HDD,AMD,Windows 10,1.9,1154.0
26,HP,Probook 450,Notebook,15.6,1920x1080,2.7,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.04,979.0
375,Dell,Alienware 17,Gaming,17.3,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,4.42,2699.0
289,HP,Pavilion Power,Notebook,15.6,1920x1080,2.8,12,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.21,1327.0
1007,HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,2.5,4,256GB SSD,Intel,Windows 10,1.32,699.0
476,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,1.44,4,64GB Flash Storage,Intel,Windows 10,0.69,479.0
475,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,1.6,8,256GB SSD,Intel,Windows 10,1.4,941.0
125,Acer,Aspire 7,Notebook,15.6,1920x1080,2.8,8,256GB SSD,Nvidia,Linux,2.5,879.0
1154,HP,EliteBook 840,Ultrabook,14.0,1920x1080,2.5,8,512GB SSD,Intel,Windows 10,1.54,1468.0
1184,HP,Zbook 15,Workstation,15.6,1920x1080,2.8,8,256GB SSD,Nvidia,Windows 10,2.6,1738.27
322,Fujitsu,Lifebook A557,Notebook,15.6,1366x768,2.5,8,1TB HDD,Intel,Windows 10,2.2,739.0
280,Samsung,Notebook 9,Ultrabook,15.0,1920x1080,2.7,16,256GB SSD,Nvidia,Windows 10,1.23,1849.0
63,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,2.5,8,256GB SSD,Nvidia,No OS,2.2,629.0
547,Asus,Rog GL502VM-DS74,Gaming,15.6,1920x1080,2.8,16,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.1,1899.0
1293,Lenovo,ThinkPad 13,Notebook,13.3,1366x768,1.6,4,16GB Flash Storage,Intel,Chrome OS,1.45,459.9
536,Acer,Aspire A315-51,Notebook,15.6,1366x768,2.0,4,1TB HDD,Intel,Linux,2.1,390.0
687,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,2.5,4,128GB SSD,Intel,Windows 10,1.9,498.0
1023,Dell,Inspiron 3567,Notebook,15.6,1920x1080,2.7,8,1TB HDD,AMD,Linux,2.2,599.9
210,HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,2.5,4,1TB HDD,AMD,Windows 10,2.1,398.0
657,Dell,Latitude 5580,Notebook,15.6,1366x768,2.6,8,500GB HDD,Intel,Windows 10,1.9,1008.52
671,Asus,ROG Strix,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.3,1655.0
194,Lenovo,Ideapad 700-15ISK,Notebook,15.6,1920x1080,2.3,4,1TB HDD,Nvidia,Windows 10,2.3,977.0
672,HP,Elitebook 840,Notebook,14.0,1920x1080,2.7,8,256GB SSD,Intel,Windows 10,1.48,1292.0
1152,Acer,TravelMate P259-G2,Notebook,15.6,1366x768,2.5,4,500GB HDD,Intel,Windows 10,2.23,619.0
201,MSI,GE73VR 7RE,Gaming,17.3,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.8,1890.0
792,Acer,Aspire E5-475,Notebook,14.0,1366x768,2.0,8,1TB HDD,Intel,Windows 10,2.1,389.0
306,Lenovo,ThinkPad X1,Ultrabook,14.0,1920x1080,2.7,16,512GB SSD,Intel,Windows 10,1.14,2450.0
828,Dell,Inspiron 5567,Notebook,15.6,1920x1080,2.7,16,1TB HDD,AMD,Windows 10,2.3,859.01
1055,HP,Elitebook 820,Netbook,12.5,1920x1080,2.7,8,512GB SSD,Intel,Windows 10,1.26,1483.0
813,Dell,Alienware 17,Gaming,17.3,3840x2160,2.8,32,1TB SSD +  1TB HDD,Nvidia,Windows 10,4.36,3659.4
1000,Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,2.5,8,256GB SSD,Intel,Windows 10,1.6,789.01
110,HP,Probook 450,Notebook,15.6,1920x1080,2.5,8,1TB HDD,Intel,Windows 10,2.04,806.0
399,Acer,Aspire ES1-572,Notebook,15.6,1366x768,2.5,4,500GB HDD,Intel,Linux,2.4,441.8
636,Lenovo,IdeaPad 510-15IKB,Notebook,15.6,1920x1080,2.7,8,1TB HDD,Nvidia,No OS,2.2,709.0
1264,HP,EliteBook 840,Ultrabook,14.0,1920x1080,2.7,4,256GB SSD,Intel,Windows 10,1.48,1082.0
318,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,2.8,16,256GB SSD,Nvidia,Windows 10,2.5,1079.0
172,Acer,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),2 in 1 Convertible,14.0,1920x1080,1.3,8,256GB SSD,Intel,Windows 10,1.2,1149.0
